family,n,d_vendor_med,d_vendor_p90,d_thick_med,d_thick_p90,frac_vendor_gt08,frac_thick_gt08
log-sigma-4-0-mm-3D|ngtdm,5,0.0424744676410087,0.20555718849664267,0.20519915028451832,0.41133473555059,0.0,0.0
log-sigma-4-0-mm-3D|glszm,16,0.22472131127594763,0.3527520506138658,0.19981386293893372,0.30422143197744456,0.0,0.0
log-sigma-2-0-mm-3D|glszm,16,0.0621740759671906,0.19879542488614294,0.1982168217743083,0.3314884540860731,0.0,0.0
wavelet-LHL|ngtdm,5,0.23845383422256267,0.6143895940934804,0.1971462166397202,0.23192281950635243,0.0,0.0
wavelet-HLH|ngtdm,5,0.23248088006523887,0.2599103364311732,0.19413921922049657,1.9362557383135879,0.0,0.4
wavelet-HHL|gldm,14,0.24432122831943415,0.9488546876303451,0.18436762331871076,0.9054239986959449,0.21428571428571427,0.2857142857142857
wavelet-LLL|firstorder,18,0.42650269046374584,1.2947810844850367,0.17918112235928696,0.3561795911026832,0.3333333333333333,0.0
wavelet-LHL|firstorder,18,0.2521763718151195,0.8236373848346521,0.1747188924918795,0.914395898001699,0.16666666666666666,0.2777777777777778
log-sigma-5-0-mm-3D|glcm,24,0.12383920899218315,0.14136944753353342,0.17276917499034727,0.33298738223614255,0.0,0.0
wavelet-HLL|gldm,14,0.2804381299875983,0.5185747323758254,0.1702261939511467,0.70530943050089,0.0,0.0
original|ngtdm,5,0.2386928776802286,0.44154524663037487,0.16530641339469115,1.1899475540069149,0.0,0.4
log-sigma-1-0-mm-3D|ngtdm,5,0.15739229331424348,0.6179417594878999,0.1540820467858329,2.9543503218424076,0.0,0.4
wavelet-LHH|glszm,16,0.18239548808385614,0.3172799893974273,0.1529041909464829,0.23862091310783337,0.0,0.0
log-sigma-3-0-mm-3D|glszm,16,0.16476464386836598,0.2760132351098752,0.15230263092177843,0.2518146524332589,0.0,0.0
wavelet-LHH|ngtdm,5,0.2008929045385395,1.4675646268942366,0.14705449937079587,2.8900020519099745,0.4,0.4
log-sigma-5-0-mm-3D|glszm,16,0.22179799319965693,0.28087647525500736,0.13937554708172176,0.31327563706916345,0.0,0.0
wavelet-HLL|firstorder,18,0.37726970838206136,0.772380467207759,0.1339494709499589,0.5656462279405169,0.1111111111111111,0.0
wavelet-HLH|glszm,16,0.21351077029761822,0.394198053529366,0.12865416329331583,0.24314010675283917,0.0,0.0
log-sigma-2-0-mm-3D|ngtdm,5,0.14819157426687996,0.27550771326452017,0.11728568684004358,0.4517776458691562,0.0,0.0
wavelet-LLL|ngtdm,5,0.25086555864619464,0.4750902833192384,0.10147084988603725,0.6537518986813518,0.0,0.0
wavelet-LHL|glcm,24,0.595080430855131,2.674958883479978,0.023606646934014812,4.274698200870652,0.2916666666666667,0.375
